,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
1879,80,New,Is This Love,"LP Giobbi, Danielle Ponder",80,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1880,81,Re-Entry,Gasolina,Secreto el famoso 0856,54,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1881,82,New,Quiet Girls,"Michaela Jaé, Billy Porter, Mykal Kilgore",82,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1882,83,-37,Chronicles_of_the_Viking_Raiders,ShadowStreet309,11,46,2,New York City,2024-10-24,City Weekly Pulse Songs
1883,84,New,Ani Maamin | אני מאמין (MixerJr Remix),MixerJr,84,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1884,85,New,Ella Me Levantó,Flow 2895,85,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1885,86,New,Call Me Mercy,Julia Harriman,86,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1886,87,New,25,Rod Wave,87,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1887,88,New,Confession,"Loe Shimmy, Cash Cobain",88,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1888,89,-39,Voyage of the Star Seeker,UrbanGlyph440,15,50,4,New York City,2024-10-24,City Weekly Pulse Songs
1889,90,-52,Sigo Siendo Tuyo,El fother melado 3708,19,38,2,New York City,2024-10-24,City Weekly Pulse Songs
1890,91,-77,Eres Dificil De Olvidar,Anuel la para AA 36,14,14,5,New York City,2024-10-24,City Weekly Pulse Songs
1891,92,New,Leave The Bronx Alive,"Marc Anthony, Luis Figueroa, Flaco Navaja, Shenseea, José Alberto ""El Canario""",92,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1892,93,-74,Es Tu Día,Romeo rosa 5610,15,19,2,New York City,2024-10-24,City Weekly Pulse Songs
1893,94,-57,Voyage of the Vikings,PixelBomber392,8,37,2,New York City,2024-10-24,City Weekly Pulse Songs
1894,95,Re-Entry,Asi Se Quiere,Dilon Bebe 6558,48,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1895,96,-42,Battlecry of the Cosmic Knights,WallWriter091,9,54,3,New York City,2024-10-24,City Weekly Pulse Songs
1896,97,-38,Champions of the Thunder God,WallCrusher567,20,59,4,New York City,2024-10-24,City Weekly Pulse Songs
1897,98,-62,Battle Cry of the Ancients,StencilSoul339,7,36,4,New York City,2024-10-24,City Weekly Pulse Songs
1898,99,-48,Champion's Quest for Glory,CityPulse234,11,51,4,New York City,2024-10-24,City Weekly Pulse Songs
1899,100,-51,Echoes of the Gods,WallWhisperer919,17,49,4,New York City,2024-10-24,City Weekly Pulse Songs
1900,1,New,Good Times (Bonus Track),Koe Wetzel,1,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1901,2,New,House Again,Hudson Westbrook,2,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1902,3,New,You For A Reason,Warren Zeiders,3,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1903,4,New,Ends of the Earth,Ty Myers,4,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1904,5,-4,Happy Face,Treaty Oak Revival,1,1,6,Omaha,2024-10-24,City Weekly Pulse Songs
1905,6,-3,Run Your Mouth,Gavin Adcock,1,3,12,Omaha,2024-10-24,City Weekly Pulse Songs
1906,7,New,Holding On,Bailey Zimmerman,7,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1907,8,-6,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",2,2,4,Omaha,2024-10-24,City Weekly Pulse Songs
1908,9,-1,Change My Mind,Riley Green,6,8,3,Omaha,2024-10-24,City Weekly Pulse Songs
1909,10,New,Welcome To The Plains,Wyatt Flores,10,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1910,11,New,Love Somebody,Morgan Wallen,11,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1911,12,-1,weren't for the wind,Ella Langley,10,11,3,Omaha,2024-10-24,City Weekly Pulse Songs
1912,13,-7,Heaven On Earth,Hayden Blount,6,6,4,Omaha,2024-10-24,City Weekly Pulse Songs
1913,14,-10,Thoughts of You,Ole 60,4,4,5,Omaha,2024-10-24,City Weekly Pulse Songs
1914,15,-6,Jailbreak,"Waylon Wyatt, Bayker Blankenship",6,9,7,Omaha,2024-10-24,City Weekly Pulse Songs
1915,16,-4,Winning Streak,Jelly Roll,12,12,2,Omaha,2024-10-24,City Weekly Pulse Songs
1916,17,-4,Next Week,Sterling Elza,11,13,6,Omaha,2024-10-24,City Weekly Pulse Songs
1917,18,-2,I Never Lie,Zach Top,4,16,4,Omaha,2024-10-24,City Weekly Pulse Songs
1918,19,-2,Break It Right Back,Megan Moroney,8,17,3,Omaha,2024-10-24,City Weekly Pulse Songs
1919,20,-10,Daydreams,"Cole Barnhill, Treaty Oak Revival",10,10,4,Omaha,2024-10-24,City Weekly Pulse Songs
1920,21,-3,Thought of You,Sam Barber,18,18,2,Omaha,2024-10-24,City Weekly Pulse Songs
1921,22,–,Tree Birds,Dylan Gossett,22,22,2,Omaha,2024-10-24,City Weekly Pulse Songs
1922,23,New,First Rodeo,Kelsea Ballerini,23,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1923,24,New,Considering,Austin Snell,24,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1924,25,-5,Backseat Driver,Kane Brown,20,20,2,Omaha,2024-10-24,City Weekly Pulse Songs
1925,26,+12,When I Ain't Lookin',Tucker Wetmore,16,38,3,Omaha,2024-10-24,City Weekly Pulse Songs
1926,27,+2,Maxed Out,Bayker Blankenship,4,29,26,Omaha,2024-10-24,City Weekly Pulse Songs
1927,28,-4,I'm Still Fine,The Red Clay Strays,18,24,5,Omaha,2024-10-24,City Weekly Pulse Songs
1928,29,-3,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",9,26,7,Omaha,2024-10-24,City Weekly Pulse Songs
1929,30,-2,I Ain't Sayin',Jordan Davis,19,28,13,Omaha,2024-10-24,City Weekly Pulse Songs
1930,31,+1,Just Like Johnny,Redferrin,12,32,27,Omaha,2024-10-24,City Weekly Pulse Songs
1931,32,-2,M.I.A.,Graham Barham,28,30,7,Omaha,2024-10-24,City Weekly Pulse Songs
1932,33,-2,28,Zach Bryan,13,31,4,Omaha,2024-10-24,City Weekly Pulse Songs
1933,34,+45,Awaken,Breaking Benjamin,34,79,2,Omaha,2024-10-24,City Weekly Pulse Songs
1934,35,-2,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",11,33,13,Omaha,2024-10-24,City Weekly Pulse Songs
1935,36,+1,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,2,37,15,Omaha,2024-10-24,City Weekly Pulse Songs
1936,37,-2,Out of Oklahoma (From Twisters: The Album),Lainey Wilson,8,35,14,Omaha,2024-10-24,City Weekly Pulse Songs
1937,38,-4,Fix What You Didn't Break,Nate Smith,14,34,9,Omaha,2024-10-24,City Weekly Pulse Songs
1938,39,+5,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",10,44,19,Omaha,2024-10-24,City Weekly Pulse Songs
1939,40,-1,Leave Me Alone,BigXthaPlug,39,39,2,Omaha,2024-10-24,City Weekly Pulse Songs
1940,41,-1,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",30,40,6,Omaha,2024-10-24,City Weekly Pulse Songs
1941,42,-1,PSYCHO,HARDY,2,41,13,Omaha,2024-10-24,City Weekly Pulse Songs
1942,43,+7,Cozy,Braxton Keith,41,50,18,Omaha,2024-10-24,City Weekly Pulse Songs
1943,44,-1,Now or Never (feat. Lauren Alaina),"Corey Kent, Lauren Alaina",10,43,4,Omaha,2024-10-24,City Weekly Pulse Songs
1944,45,+1,Hell is a Dance Floor,Vincent Mason,4,46,7,Omaha,2024-10-24,City Weekly Pulse Songs
1945,46,+2,10-90,Muscadine Bloodline,6,48,9,Omaha,2024-10-24,City Weekly Pulse Songs
1946,47,-2,LOW ROAD (feat. Avery Anna),"Adrien Nunez, Avery Anna",45,45,2,Omaha,2024-10-24,City Weekly Pulse Songs
1947,48,-33,Western Woman,Ian Munsick,6,15,5,Omaha,2024-10-24,City Weekly Pulse Songs
1948,49,–,Darlin',Chase Matthew,12,49,5,Omaha,2024-10-24,City Weekly Pulse Songs
1949,50,+15,What Kinda Man,Parker McCollum,6,65,6,Omaha,2024-10-24,City Weekly Pulse Songs
1950,51,–,Suit and Tie (Sixteen Tons),Cooper Alan,49,51,4,Omaha,2024-10-24,City Weekly Pulse Songs
1951,52,+35,Gang Baby,NLE Choppa,52,87,2,Omaha,2024-10-24,City Weekly Pulse Songs
1952,53,-17,Missing Peace,Pecos & the Rooftops,21,36,4,Omaha,2024-10-24,City Weekly Pulse Songs
1953,54,+22,Don’t HMU,Anella Herim,54,76,2,Omaha,2024-10-24,City Weekly Pulse Songs
1954,55,+7,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",17,62,21,Omaha,2024-10-24,City Weekly Pulse Songs
1955,56,+2,What He'll Never Have,Dylan Scott,3,58,4,Omaha,2024-10-24,City Weekly Pulse Songs
1956,57,+6,Beautiful As You,Thomas Rhett,10,63,6,Omaha,2024-10-24,City Weekly Pulse Songs
1957,58,+25,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",58,83,2,Omaha,2024-10-24,City Weekly Pulse Songs
1958,59,Re-Entry,Devil You Know,Tyler Braden,8,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1959,60,-35,Time’s Ticking,"Justin Moore, Dierks Bentley",25,25,2,Omaha,2024-10-24,City Weekly Pulse Songs
1960,61,-4,Burning Down,Alex Warren,30,57,5,Omaha,2024-10-24,City Weekly Pulse Songs
1961,62,-1,Lonely Dirt Road,Dax,61,61,2,Omaha,2024-10-24,City Weekly Pulse Songs
1962,63,New,love you to death,"Josiah Queen, Strings And Heart",63,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1963,64,New,Rollin' Stone,Blake Whiten,64,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1964,65,+23,That's Who I Praise,Brandon Lake,40,88,13,Omaha,2024-10-24,City Weekly Pulse Songs
1965,66,-13,25,Rod Wave,53,53,2,Omaha,2024-10-24,City Weekly Pulse Songs
1966,67,+7,Sober Sundays,"The Castellows, Wyatt Flores",9,74,13,Omaha,2024-10-24,City Weekly Pulse Songs
1967,68,New,Learning As I Go,Kip Moore,68,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1968,69,–,Steal My Thunder (feat. Tucker Wetmore) [From Twisters: The Album],"Conner Smith, Tucker Wetmore",7,69,2,Omaha,2024-10-24,City Weekly Pulse Songs
1969,70,New,Til The Last Shot's Fired,"Scotty Hasting, Lee Brice, Dolly Parton",70,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1970,71,New,Both Ways,Juice WRLD,71,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1971,72,-51,Three Car Garage,Flatland Cavalry,21,21,2,Omaha,2024-10-24,City Weekly Pulse Songs
1972,73,-2,Quitter,Cameron Whitcomb,71,71,2,Omaha,2024-10-24,City Weekly Pulse Songs
1973,74,-6,Coming Home,Old Dominion,16,68,17,Omaha,2024-10-24,City Weekly Pulse Songs
1974,75,New,Somebody Prayed (feat. Dylan Scott),"Crowder, Dylan Scott",75,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1975,76,-29,Play Something Country (with Lainey Wilson),"Brooks & Dunn, Lainey Wilson",16,47,4,Omaha,2024-10-24,City Weekly Pulse Songs
1976,77,-5,Santa Fe,"Miranda Lambert, Parker McCollum",24,72,6,Omaha,2024-10-24,City Weekly Pulse Songs
1977,78,New,HIM ALL ALONG,Gunna,78,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1978,79,-9,Bones,Russell Dickerson,36,70,15,Omaha,2024-10-24,City Weekly Pulse Songs
1979,80,-14,Better Than You Left Me,Dylan Schneider,56,66,4,Omaha,2024-10-24,City Weekly Pulse Songs
1980,81,-29,"Love You, Miss You, Mean It",Luke Bryan,19,52,3,Omaha,2024-10-24,City Weekly Pulse Songs
1981,82,Re-Entry,Hardest Ese Ever,That Mexican OT,73,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1982,83,-8,Anchor,49 Winchester,17,75,10,Omaha,2024-10-24,City Weekly Pulse Songs
1983,84,-3,90s Rap Mashup,Austin Williams,4,81,12,Omaha,2024-10-24,City Weekly Pulse Songs
1984,85,-25,The Thin Grey Line,$uicideboy$,22,60,18,Omaha,2024-10-24,City Weekly Pulse Songs
1985,86,-8,Hangin’ On (feat. Morgan Wallen),"ERNEST, Morgan Wallen",8,78,3,Omaha,2024-10-24,City Weekly Pulse Songs
1986,87,New,Down By The River,Jameson Rodgers,87,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1987,88,Re-Entry,Bye Bye Bye,Dasha,67,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1988,89,New,I Need Help,"Connor Price, Taylor Hill, Maverick City Music, Nick Day",89,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1989,90,-6,The Viper,BabyChiefDoit,77,84,3,Omaha,2024-10-24,City Weekly Pulse Songs
1990,91,-49,Stick to My Guns (feat. Riley Green),"Dylan Marlowe, Riley Green",11,42,4,Omaha,2024-10-24,City Weekly Pulse Songs
1991,92,Re-Entry,Take Me As I Come,"Evan Honer, Wyatt Flores",13,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1992,93,New,Noid,"Tyler, The Creator",93,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1993,94,-9,Broken Heart Thing (feat. Dustin Lynch),"Madeline Merlo, Dustin Lynch",60,85,6,Omaha,2024-10-24,City Weekly Pulse Songs
1994,95,+1,truck on fire,Carly Pearce,51,96,8,Omaha,2024-10-24,City Weekly Pulse Songs
1995,96,-29,Airplanes,Kidd G,67,67,3,Omaha,2024-10-24,City Weekly Pulse Songs
1996,97,-15,Dear Life,Blake Wood,50,82,11,Omaha,2024-10-24,City Weekly Pulse Songs
1997,98,New,"I Love You, I'm Sorry - Live From Vevo",Gracie Abrams,98,—,1,Omaha,2024-10-24,City Weekly Pulse Songs
1998,99,-9,Miles On It,"Marshmello, Kane Brown",23,90,25,Omaha,2024-10-24,City Weekly Pulse Songs
1999,100,-11,Single Again,Josh Ross,24,89,18,Omaha,2024-10-24,City Weekly Pulse Songs
2000,1,New,Disparan2,"El Dommi 27, Young Papi Music",1,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2001,2,New,Quiero Verte,Labroz,2,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2002,3,New,Noche en la Ciudad,Alaz,3,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2003,4,+4,Beats De Dembow Estilos Libre Osiel King,Osiel King,2,8,4,Philadelphia,2024-10-24,City Weekly Pulse Songs
2004,5,Re-Entry,Yee Yee,Hizoto,2,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2005,6,New,Sin Caretas,Rainer,6,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2006,7,New,TODO POR SONIDO EL TEAM CARTEL NOS ENGAÑARON TODO FUE FALSO,Que Divertido Tv,7,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2007,8,Re-Entry,Podcast: Completo rey del planeta2,Escobar70,5,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2008,9,Re-Entry,Rynnei De Noche,Rynnei,7,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2009,10,New,premium typebeats #37,AriuzProduce,10,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2010,11,New,edicion beats type #24,HECTOR HAZAEL,11,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2011,12,New,Beats nELO,Leighton AO,12,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2012,13,New,Genius #77beats,Ariuz Js,13,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2013,14,Re-Entry,edicion#2 volumen 0,elnegrord,10,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2014,15,–,Sangre Freestyle,"FINO CON LA S, 23 Santana",11,15,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2015,16,New,Caminoi del exito,Mist Walker,16,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2016,17,New,Nuestra Guaracha,Angre,17,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2017,18,New,Frestyle Beat Reggueton ' Eventually ' Instrumental,Purple King Soul,18,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2018,19,-6,DAN 2,ALIIEN MUSIC,13,13,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2019,20,New,Yo Quisiera,Luiyi RD,20,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2020,21,New,"Base de Trap Sad, sin ti ' uso libre",Dana Music Beats,21,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2021,22,-3,Blind Side,"Thigio, Jay On The Mask",18,19,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2022,23,Re-Entry,Corazón Muerto,Eder Arias,5,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2023,24,-3,Entre sombras,Djpulsewave,21,21,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2024,25,Re-Entry,Capea Dough 2024,The King AVATAR,3,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2025,26,Re-Entry,Intrumental Sky And You,Moose Production,25,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2026,27,Re-Entry,Dale Con Toh,Bryan El Demente,26,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2027,28,-3,ANGEL,GOD'S BABY BEATS,25,25,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2028,29,Re-Entry,Traje El Flow,JR23 Music,4,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2029,30,–,Que no muere.,"El BOM, Escobarsito69",29,30,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2030,31,-3,Anabel,"Escobarsito69, El BOM",28,28,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2031,32,-3,Fuego,"Black Phenix, Bony",7,29,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2032,33,Re-Entry,Sin Temor,Grego Beats,20,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2033,34,Re-Entry,Ciclon,Iyan Beats,34,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2034,35,-2,WATCHMAKING,"Yung Voces, 99BEATZ, Mambabeatzbro",21,33,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2035,36,New,El Dicho,Grekco,36,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2036,37,Re-Entry,Sin Demora,Camby,37,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2037,38,New,Juanc Dime Si Tu,Juanc,38,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2038,39,+2,Peach Snapple,KUR,1,41,34,Philadelphia,2024-10-24,City Weekly Pulse Songs
2039,40,Re-Entry,PROHIBIDO,Mashelo,12,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2040,41,-3,Iztapagraff,"Maythugs, Zago Zavala",13,38,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2041,42,+6,Steven Hawkins,Toure,6,48,4,Philadelphia,2024-10-24,City Weekly Pulse Songs
2042,43,Re-Entry,Niñas Malas,Glema,25,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2043,44,Re-Entry,Melancholy Sunrise,Mixed Emotionz,26,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2044,45,-2,Bruja Condek,Condek,43,43,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2045,46,-1,Let it flow,99BEATZ,45,45,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2046,47,Re-Entry,LA URUS,Mamba Beatz,29,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2047,48,Re-Entry,Drip Too Hard,White Mamba Beats,28,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2048,49,+1,Amiri,"Los Puros Studio, Yung Voces, Eliseo W",32,50,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2049,50,-1,Malones,"DGN ON DA TRACK, Black David",16,49,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2050,51,–,Ay Amor (Recuerdo de tus ojos),"Bony, polancgraphs",17,51,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2051,52,–,"BASE DE TRAP (""FLOW ZARPADO"" | Trap/Rap Instrumental Beat Freestyle | Pista De Trap)",Devil Baby Beats,52,52,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2052,53,–,Bippin,FSDaBender,8,53,4,Philadelphia,2024-10-24,City Weekly Pulse Songs
2053,54,–,Baltimore,Ybcdul,3,54,9,Philadelphia,2024-10-24,City Weekly Pulse Songs
2054,55,Re-Entry,La prueba 10,Don Dinero 054,22,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2055,56,+1,Get Back,Hood Tali,2,57,16,Philadelphia,2024-10-24,City Weekly Pulse Songs
2056,57,+1,StashBox,"Rich Sinners, Skrilla",2,58,16,Philadelphia,2024-10-24,City Weekly Pulse Songs
2057,58,+1,McButton's & McNuggets,"YoungBagChasers, Ybcdul",1,59,36,Philadelphia,2024-10-24,City Weekly Pulse Songs
2058,59,New,Resident,Skrilla,59,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2059,60,–,Lo siento,Angel Metatron,17,60,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2060,61,+10,BUMBAA,"Ohthatsmizz, Sturdyyoungin",61,71,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2061,62,-1,25,Rod Wave,61,61,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2062,63,New,Love Somebody,Morgan Wallen,63,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2063,64,+1,Go Getter,OT7 Quanny,5,65,10,Philadelphia,2024-10-24,City Weekly Pulse Songs
2064,65,New,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",65,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2065,66,+2,BIG B's,G12 Zah,1,68,94,Philadelphia,2024-10-24,City Weekly Pulse Songs
2066,67,+2,Or What,"NLE Choppa, 41, Kyle Richh",18,69,7,Philadelphia,2024-10-24,City Weekly Pulse Songs
2067,68,-5,Yo Soy Asi,Greco,63,63,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2068,69,New,Noid,"Tyler, The Creator",69,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2069,70,-3,Jinete De La Muerte,Kmkacep,67,67,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2070,71,Re-Entry,Loyalty,LilBuckss,2,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2071,72,New,That’s So True,Gracie Abrams,72,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2072,73,+5,The Viper,BabyChiefDoit,44,78,4,Philadelphia,2024-10-24,City Weekly Pulse Songs
2073,74,New,HIM ALL ALONG,Gunna,74,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2074,75,–,NISSAN ALTIMA,Doechii,11,75,12,Philadelphia,2024-10-24,City Weekly Pulse Songs
2075,76,+6,Start Ya Day,Saany Goon,1,82,57,Philadelphia,2024-10-24,City Weekly Pulse Songs
2076,77,-1,CYBER TRUCK,Meek Mill,9,76,5,Philadelphia,2024-10-24,City Weekly Pulse Songs
2077,78,-6,Leave Me Alone,BigXthaPlug,72,72,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2078,79,+6,End Up Gone,ian,79,85,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2079,80,-10,In The Living Room,Maggie Rogers,70,70,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2080,81,New,Shirtoff,"Perfect Timing, Skrilla",81,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2081,82,New,All Mine,Sleepy Hallow,82,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2082,83,-6,My Baby (feat. STAR BANDZ),"Sugarhill Ddot, STAR BANDZ",29,77,7,Philadelphia,2024-10-24,City Weekly Pulse Songs
2083,84,-3,28,Zach Bryan,16,81,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2084,85,-6,Blackout,"Ronzy, Bril",69,79,3,Philadelphia,2024-10-24,City Weekly Pulse Songs
2085,86,–,LIL DEMON,Future,27,86,4,Philadelphia,2024-10-24,City Weekly Pulse Songs
2086,87,+6,Cavalier,Juice WRLD,87,93,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2087,88,+2,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",20,90,5,Philadelphia,2024-10-24,City Weekly Pulse Songs
2088,89,–,Brokey,Latto,33,89,9,Philadelphia,2024-10-24,City Weekly Pulse Songs
2089,90,-16,Apple featuring the japanese house,"Charli xcx, The Japanese House",74,74,2,Philadelphia,2024-10-24,City Weekly Pulse Songs
2090,91,New,PHAT,DaBaby,91,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2091,92,New,Opportunist,Lil Durk,92,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
2092,93,New,SOTO SHUFFLE,"El Alfa, Foreign Teck",93,—,1,Philadelphia,2024-10-24,City Weekly Pulse Songs
